# qlnes-spike-trace v0
# columns: cpu_cycle	addr_hex	value_hex
2344194	4014	02
2344797	4000	30
2344805	4002	ad
2344824	4004	30
2344832	4006	ad
2344851	4008	80
2344859	400a	ad
2344867	400b	06
2344875	400c	f0
2344883	400e	0f
2344979	4016	01
2344985	4016	00
2345182	4016	01
2345188	4016	00
2345385	4016	01
2345391	4016	00
2373974	4014	02
2374577	4000	30
2374585	4002	ad
2374604	4004	30
2374612	4006	ad
2374631	4008	80
2374639	400a	ad
2374647	400b	06
2374655	400c	f0
2374663	400e	0f
2374759	4016	01
2374765	4016	00
2374962	4016	01
2374968	4016	00
2375165	4016	01
2375171	4016	00
2403754	4014	02
2404357	4000	30
2404365	4002	ad
2404384	4004	30
2404392	4006	ad
2404411	4008	80
2404419	400a	ad
2404427	400b	06
2404435	400c	f0
2404443	400e	0f
2404539	4016	01
2404545	4016	00
2404742	4016	01
2404748	4016	00
2404945	4016	01
2404951	4016	00
2433534	4014	02
2434137	4000	30
2434145	4002	ad
2434164	4004	30
2434172	4006	ad
2434191	4008	80
2434199	400a	ad
2434207	400b	06
2434215	400c	f0
2434223	400e	0f
2434319	4016	01
2434325	4016	00
2434522	4016	01
2434528	4016	00
2434725	4016	01
2434731	4016	00
2463314	4014	02
2463917	4000	30
2463925	4002	ad
2463944	4004	30
2463952	4006	ad
2463971	4008	80
2463979	400a	ad
2463987	400b	06
2463995	400c	f0
2464003	400e	0f
2493096	4014	02
2493703	4000	30
2493711	4002	ad
2493730	4004	30
2493738	4006	ad
2493757	4008	80
2493765	400a	ad
2493773	400b	06
2493781	400c	f0
2493789	400e	0f
2493880	4016	01
2493886	4016	00
2494083	4016	01
2494089	4016	00
2494286	4016	01
2494292	4016	00
2522875	4014	02
2523478	4000	30
2523486	4002	ad
2523505	4004	30
2523513	4006	ad
2523532	4008	80
2523540	400a	ad
2523548	400b	06
2523556	400c	f0
2523564	400e	0f
2523660	4016	01
2523666	4016	00
2523863	4016	01
2523869	4016	00
2524066	4016	01
2524072	4016	00
2552655	4014	02
2553258	4000	30
2553266	4002	ad
2553285	4004	30
2553293	4006	ad
2553312	4008	80
2553320	400a	ad
2553328	400b	06
2553336	400c	f0
2553344	400e	0f
2553440	4016	01
2553446	4016	00
2553643	4016	01
2553649	4016	00
2553846	4016	01
2553852	4016	00
2582435	4014	02
2583038	4000	30
2583046	4002	ad
2583065	4004	30
2583073	4006	ad
2583092	4008	80
2583100	400a	ad
2583108	400b	06
2583116	400c	f0
2583124	400e	0f
2583220	4016	01
2583226	4016	00
2583423	4016	01
2583429	4016	00
2583626	4016	01
2583632	4016	00
2612215	4014	02
2612818	4000	30
2612826	4002	ad
2612845	4004	30
2612853	4006	ad
2612872	4008	80
2612880	400a	ad
2612888	400b	06
2612896	400c	f0
2612904	400e	0f
2613000	4016	01
2613006	4016	00
2613203	4016	01
2613209	4016	00
2613406	4016	01
2613412	4016	00
2641995	4014	02
2642598	4000	30
2642606	4002	ad
2642625	4004	30
2642633	4006	ad
2642652	4008	80
2642660	400a	ad
2642668	400b	06
2642676	400c	f0
2642684	400e	0f
2671774	4014	02
2672381	4000	30
2672389	4002	ad
2672408	4004	30
2672416	4006	ad
2672435	4008	80
2672443	400a	ad
2672451	400b	06
2672459	400c	f0
2672467	400e	0f
2672553	4016	01
2672559	4016	00
2672756	4016	01
2672762	4016	00
2672959	4016	01
2672965	4016	00
2701554	4014	02
2702157	4000	30
2702165	4002	ad
2702184	4004	30
2702192	4006	ad
2702211	4008	80
2702219	400a	ad
2702227	400b	06
2702235	400c	f0
2702243	400e	0f
2702339	4016	01
2702345	4016	00
2702542	4016	01
2702548	4016	00
2702745	4016	01
2702751	4016	00
2731334	4014	02
2731937	4000	30
2731945	4002	ad
2731964	4004	30
2731972	4006	ad
2731991	4008	80
2731999	400a	ad
2732007	400b	06
2732015	400c	f0
2732023	400e	0f
2732119	4016	01
2732125	4016	00
2732322	4016	01
2732328	4016	00
2732525	4016	01
2732531	4016	00
2761114	4014	02
2761717	4000	30
2761725	4002	ad
2761744	4004	30
2761752	4006	ad
2761771	4008	80
2761779	400a	ad
2761787	400b	06
2761795	400c	f0
2761803	400e	0f
2761899	4016	01
2761905	4016	00
2762102	4016	01
2762108	4016	00
2762305	4016	01
2762311	4016	00
2790894	4014	02
2791497	4000	30
2791505	4002	ad
2791524	4004	30
2791532	4006	ad
2791551	4008	80
2791559	400a	ad
2791567	400b	06
2791575	400c	f0
2791583	400e	0f
2791679	4016	01
2791685	4016	00
2791882	4016	01
2791888	4016	00
2792085	4016	01
2792091	4016	00
2820674	4014	02
2821277	4000	30
2821285	4002	ad
2821304	4004	30
2821312	4006	ad
2821331	4008	80
2821339	400a	ad
2821347	400b	06
2821355	400c	f0
2821363	400e	0f
2850456	4014	02
2851063	4000	30
2851071	4002	ad
2851090	4004	30
2851098	4006	ad
2851117	4008	80
2851125	400a	ad
2851133	400b	06
2851141	400c	f0
2851149	400e	0f
2851240	4016	01
2851246	4016	00
2851443	4016	01
2851449	4016	00
2851646	4016	01
2851652	4016	00
2880235	4014	02
2880838	4000	30
2880846	4002	ad
2880865	4004	30
2880873	4006	ad
2880892	4008	80
2880900	400a	ad
2880908	400b	06
2880916	400c	f0
2880924	400e	0f
2881020	4016	01
2881026	4016	00
2881223	4016	01
2881229	4016	00
2881426	4016	01
2881432	4016	00
2910015	4014	02
2910618	4000	30
2910626	4002	ad
2910645	4004	30
2910653	4006	ad
2910672	4008	80
2910680	400a	ad
2910688	400b	06
2910696	400c	f0
2910704	400e	0f
2910800	4016	01
2910806	4016	00
2911003	4016	01
2911009	4016	00
2911206	4016	01
2911212	4016	00
2939795	4014	02
2940398	4000	30
2940406	4002	ad
2940425	4004	30
2940433	4006	ad
2940452	4008	80
2940460	400a	ad
2940468	400b	06
2940476	400c	f0
2940484	400e	0f
2940580	4016	01
2940586	4016	00
2940783	4016	01
2940789	4016	00
2940986	4016	01
2940992	4016	00
2969575	4014	02
2970178	4000	30
2970186	4002	ad
2970205	4004	30
2970213	4006	ad
2970232	4008	80
2970240	400a	ad
2970248	400b	06
2970256	400c	f0
2970264	400e	0f
2970360	4016	01
2970366	4016	00
2970563	4016	01
2970569	4016	00
2970766	4016	01
2970772	4016	00
2999355	4014	02
2999958	4000	30
2999966	4002	ad
2999985	4004	30
2999993	4006	ad
3000012	4008	80
3000020	400a	ad
3000028	400b	06
3000036	400c	f0
3000044	400e	0f
3029134	4014	02
3029741	4000	30
3029749	4002	ad
3029768	4004	30
3029776	4006	ad
3029795	4008	80
3029803	400a	ad
3029811	400b	06
3029819	400c	f0
3029827	400e	0f
3029913	4016	01
3029919	4016	00
3030116	4016	01
3030122	4016	00
3030319	4016	01
3030325	4016	00
3058914	4014	02
3059517	4000	30
3059525	4002	ad
3059544	4004	30
3059552	4006	ad
3059571	4008	80
3059579	400a	ad
3059587	400b	06
3059595	400c	f0
3059603	400e	0f
3059699	4016	01
3059705	4016	00
3059902	4016	01
3059908	4016	00
3060105	4016	01
3060111	4016	00
3088694	4014	02
3089297	4000	30
3089305	4002	ad
3089324	4004	30
3089332	4006	ad
3089351	4008	80
3089359	400a	ad
3089367	400b	06
3089375	400c	f0
3089383	400e	0f
3089479	4016	01
3089485	4016	00
3089682	4016	01
3089688	4016	00
3089885	4016	01
3089891	4016	00
3118474	4014	02
3119077	4000	30
3119085	4002	ad
3119104	4004	30
3119112	4006	ad
3119131	4008	80
3119139	400a	ad
3119147	400b	06
3119155	400c	f0
3119163	400e	0f
3119259	4016	01
3119265	4016	00
3119462	4016	01
3119468	4016	00
3119665	4016	01
3119671	4016	00
3148254	4014	02
3148857	4000	30
3148865	4002	ad
3148884	4004	30
3148892	4006	ad
3148911	4008	80
3148919	400a	ad
3148927	400b	06
3148935	400c	f0
3148943	400e	0f
3149039	4016	01
3149045	4016	00
3149242	4016	01
3149248	4016	00
3149445	4016	01
3149451	4016	00
3178034	4014	02
3178637	4000	30
3178645	4002	ad
3178664	4004	30
3178672	4006	ad
3178691	4008	80
3178699	400a	ad
3178707	400b	06
3178715	400c	f0
3178723	400e	0f
3207816	4014	02
3208423	4000	30
3208431	4002	ad
3208450	4004	30
3208458	4006	ad
3208477	4008	80
3208485	400a	ad
3208493	400b	06
3208501	400c	f0
3208509	400e	0f
3208600	4016	01
3208606	4016	00
3208803	4016	01
3208809	4016	00
3209006	4016	01
3209012	4016	00
3237595	4014	02
3238198	4000	30
3238206	4002	ad
3238225	4004	30
3238233	4006	ad
3238252	4008	80
3238260	400a	ad
3238268	400b	06
3238276	400c	f0
3238284	400e	0f
3238380	4016	01
3238386	4016	00
3238583	4016	01
3238589	4016	00
3238786	4016	01
3238792	4016	00
3267375	4014	02
3267978	4000	30
3267986	4002	ad
3268005	4004	30
3268013	4006	ad
3268032	4008	80
3268040	400a	ad
3268048	400b	06
3268056	400c	f0
3268064	400e	0f
3268160	4016	01
3268166	4016	00
3268363	4016	01
3268369	4016	00
3268566	4016	01
3268572	4016	00
3297155	4014	02
3297758	4000	30
3297766	4002	ad
3297785	4004	30
3297793	4006	ad
3297812	4008	80
3297820	400a	ad
3297828	400b	06
3297836	400c	f0
3297844	400e	0f
3297940	4016	01
3297946	4016	00
3298143	4016	01
3298149	4016	00
3298346	4016	01
3298352	4016	00
3326935	4014	02
3327538	4000	30
3327546	4002	ad
3327565	4004	30
3327573	4006	ad
3327592	4008	80
3327600	400a	ad
3327608	400b	06
3327616	400c	f0
3327624	400e	0f
3327720	4016	01
3327726	4016	00
3327923	4016	01
3327929	4016	00
3328126	4016	01
3328132	4016	00
3356715	4014	02
3357318	4000	30
3357326	4002	ad
3357345	4004	30
3357353	4006	ad
3357372	4008	80
3357380	400a	ad
3357388	400b	06
3357396	400c	f0
3357404	400e	0f
3386494	4014	02
3387101	4000	30
3387109	4002	ad
3387128	4004	30
3387136	4006	ad
3387155	4008	80
3387163	400a	ad
3387171	400b	06
3387179	400c	f0
3387187	400e	0f
3387273	4016	01
3387279	4016	00
3387476	4016	01
3387482	4016	00
3387679	4016	01
3387685	4016	00
3416274	4014	02
3416877	4000	30
3416885	4002	ad
3416904	4004	30
3416912	4006	ad
3416931	4008	80
3416939	400a	ad
3416947	400b	06
3416955	400c	f0
3416963	400e	0f
3417059	4016	01
3417065	4016	00
3417262	4016	01
3417268	4016	00
3417465	4016	01
3417471	4016	00
3446054	4014	02
3446657	4000	30
3446665	4002	ad
3446684	4004	30
3446692	4006	ad
3446711	4008	80
3446719	400a	ad
3446727	400b	06
3446735	400c	f0
3446743	400e	0f
3446839	4016	01
3446845	4016	00
3447042	4016	01
3447048	4016	00
3447245	4016	01
3447251	4016	00
3475834	4014	02
3476437	4000	30
3476445	4002	ad
3476464	4004	30
3476472	4006	ad
3476491	4008	80
3476499	400a	ad
3476507	400b	06
3476515	400c	f0
